Tahun;Sektor Formal;Sektor Informal;Upah Minimum Regional;PDRB Per Kapita Harga Konstan 2010;PDRB Per Kapita Harga Berlaku;Rata-Rata Lama Sekolah
2010;41;59;908824;28778.17;28778.17;7.46
2011;45.34;54.66;988829;30122.37;32336.26;7.52
2012;46.43;53.57;1088903;31519.93;35338.48;7.59
2013;47.42;52.58;1296908;32874.76;38632.67;7.61
2014;46.76;53.24;1584391;34127.72;42432.08;7.73
2015;42.25;57.75;1790342;35161.89;45119.61;7.84
2016;42.4;57.6;1997819;36468.62;47937.72;7.95
2017;42.97;57.03;2142855;37851.37;51891.18;8.1
2018;43.02;56.93;2268874;39340.56;55992.07;8.17
2019;44.12;55.88;2455662;41021.61;59317.91;8.34
2020;39.53;60.47;2672371;39778.68;57289.59;8.48
2021;40.55;59.45;2687723;40780.75;62259.07;8.54
2022;40.69;59.31;2725505;42471.54;71043.44;8.69
2023;40.89;59.11;2923309;44139.08;74964.7;8.77
2024;42.05;57.95;3113359;NA;NA;8.85
